,country/region,lat,long,total_confirmed_cases,total_recovered,total_death
138,Turkey,38.9637,35.2433,15180444,0,99057
139,Greece,39.0742,21.8243,3811622,0,30422
140,Portugal,39.3999,-8.2245,5242121,0,24291
141,Winter Olympics 2022,39.9042,116.4074,535,0,0
142,US,40.0,-100.0,88547882,0,1020816
143,Armenia,40.0691,45.0382,423417,0,8629
144,Azerbaijan,40.1431,47.5769,793388,0,9717
145,"Korea, North",40.3399,127.5101,1,0,6
146,Spain,40.463667,-3.74922,12973615,0,108730
147,Albania,41.1533,20.1683,285731,0,3510
148,Kyrgyzstan,41.20438,74.766098,201131,0,2991
149,Uzbekistan,41.377491,64.585262,241468,0,1637
